200,8889,88.85445821671331%
503,104,1.0395841663334666%
429,14,0.1399440223910436%
404,95,0.9496201519392243%
403,582,5.817672930827669%
400,22,0.21991203518592564%
TCPTimeout,163,1.629348260695722%
406,7,0.0699720111955218%
418,4,0.03998400639744103%
TimeoutError,37,0.36985205917632946%
500,23,0.2299080367852859%
505,1,0.009996001599360257%
520,6,0.059976009596161534%
405,10,0.09996001599360256%
204,11,0.10995601759296282%
521,1,0.009996001599360257%
502,7,0.0699720111955218%
401,6,0.059976009596161534%
504,1,0.009996001599360257%
420,1,0.009996001599360257%
412,1,0.009996001599360257%
203,3,0.029988004798080767%
302,1,0.009996001599360257%
522,6,0.059976009596161534%
410,3,0.029988004798080767%
444,1,0.009996001599360257%
0,1,0.009996001599360257%
451,1,0.009996001599360257%
402,1,0.009996001599360257%
523,2,0.019992003198720514%
crawler-runtime,54868.515421152115
